timestamp,act379,act13,act279,act323,act363,act302,latitude,longitude
30-04-2021 23:00,0,0,0,1,0,0,22.709422,75.84624
30-04-2021 19:30,0,0,1,0,0,0,22.683833,75.829296
30-04-2021 17:00,0,1,0,0,0,0,22.683833,75.829296
30-04-2021 19:45,0,1,0,0,0,0,22.683833,75.829296
30-04-2021 19:00,0,0,0,1,0,0,22.708925,75.853507
30-04-2021 20:00,0,0,0,1,0,0,22.708925,75.853507
30-04-2021 17:00,0,0,1,0,0,0,22.705097,75.888405
30-04-2021 20:30,0,0,0,1,0,0,22.692111,75.867548
30-04-2021 15:50,0,1,0,0,0,0,22.693141,75.827293
01-03-2021 12:00,1,0,0,0,0,0,22.66215,75.9035
01-03-2021 14:30,1,0,0,0,0,0,22.66215,75.9035
03-01-2021 16:30,1,0,0,0,0,0,22.66215,75.9035
01-03-2021 22:30,1,0,0,0,0,0,22.7462,75.8682
01-03-2021 18:35,1,0,0,0,0,0,22.7278,75.8046
01-03-2021 16:40,1,0,0,0,0,0,22.713,75.8236
01-03-2021 01:45,1,0,0,0,0,0,22.6709,75.8275
01-03-2021 12:00,1,0,0,0,0,0,22.8514,75.5422
01-03-2021 12:20,0,0,1,0,0,0,22.7411,75.8512
01-03-2021 17:20,0,0,1,0,0,0,22.7411,75.8512
01-03-2021 15:35,0,0,1,0,0,0,22.66215,75.9035
01-03-2021 22:35,0,0,1,0,0,0,22.7094,75.8779
01-03-2021 16:20,0,0,1,0,0,0,22.5778,75.7796
01-03-2021 17:30,0,0,1,0,0,0,22.5778,75.7796
01-03-2021 15:25,0,0,1,0,0,0,22.6854,75.6143
01-03-2021 18:25,0,0,0,1,0,0,22.7115,75.8601
01-03-2021 20:45,0,0,0,1,0,0,22.6905,75.8191
01-03-2021 11:45,0,0,0,1,0,0,22.6905,75.8191
01-03-2021 19:50,0,0,0,0,1,0,22.7368,75.9086
01-03-2021 15:30,0,0,0,0,1,0,22.7462,75.8682
01-03-2021 16:05,0,0,0,0,1,0,22.7571,75.8822
01-03-2021 15:15,0,1,0,0,0,0,22.713,75.8236
01-03-2021 15:20,0,1,0,0,0,0,22.713,75.8236
01-03-2021 22:20,0,0,0,1,0,0,22.7373,75.8849
01-03-2021 22:30,1,0,0,0,0,0,22.7406,75.8509
01-03-2021 18:25,0,0,0,1,0,0,22.7115,75.8601
01-03-2021 08:55,1,0,0,0,0,0,22.7115,75.8601
01-03-2021 14:20,1,0,0,0,0,0,22.7571,75.8822
01-03-2021 00:55,0,0,1,0,0,0,22.72,75.8437
01-03-2021 18:35,0,0,0,1,0,0,22.7269,75.8516
01-03-2021 12:05,1,0,0,0,0,0,22.6905,75.8191
03-03-2021 20:10,1,0,0,0,0,0,22.7177,75.8647
03-03-2021 20:05,1,0,0,0,0,0,22.7182,75.8749
03-03-2021 19:45,1,0,0,0,0,0,22.7533,75.8937
03-03-2021 15:30,1,0,0,0,0,0,22.7406,75.8509
03-03-2021 16:00,1,0,0,0,0,0,22.7406,75.8509
03-03-2021 13:40,0,0,1,0,0,0,22.7244,75.8839
03-03-2021 17:40,0,0,1,0,0,0,22.7152,75.87
03-03-2021 12:50,0,0,1,0,0,0,22.66215,75.9035
03-03-2021 13:00,0,0,1,0,0,0,22.7406,75.8509
03-03-2021 23:10,0,0,1,0,0,0,22.713,75.8236
03-03-2021 20:40,0,0,1,0,0,0,22.6854,75.6143
03-03-2021 04:10,0,0,0,1,0,0,22.7853,75.9057
03-03-2021 20:05,0,0,0,1,0,0,22.7462,75.8682
03-03-2021 00:15,0,0,0,1,0,0,22.72,75.8437
03-03-2021 22:50,0,0,0,1,0,0,22.713,75.8236
